school_name	school_section	cca_grouping_desc	cca_generic_name	cca_customized_name
ADMIRALTY PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	BROWNIES	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUITAR	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INDIAN	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	GREEN CLUB	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	CLUBS AND SOCIETIES	INFOCOM CLUB	INFOCOMM CLUB
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	FOOTBALL	FOOTBALL
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	WUSHU	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	ROPE SKIPPING	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	TRACK & FIELD	na
ADMIRALTY PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	PHOTOGRAPHIC SOCIETY	PHOTOGRAPHY CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BADMINTON	BADMINTON
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	NPCC
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	SINGAPORE RED CROSS SOCIETY	RED CROSS YOUTH
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NCC (LAND)	NCC BOYS (LAND)
ADMIRALTY SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NATIONAL CIVIL DEFENCE CADET CORPS	NCDCC
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - GUZHENG	GUZHENG ENSEMBLE
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DANCE - MODERN	DANCE CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	DRAMA - ENGLISH	DRAMA CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	BAND - CONCERT	CONCERT BAND
ADMIRALTY SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART & ENVIRONMENT CLUB
ANDERSON SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
ANG MO KIO SECONDARY SCHOOL	SECONDARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	ART CLUB
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	NETBALL	NETBALL
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	RUGBY	RUGBY
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TRACK & FIELD	ATHLETICS
ADMIRALTY SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	WUSHU	WUSHU
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	BADMINTON	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	VOLLEYBALL	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	PHYSICAL SPORTS	ROPE SKIPPING	ROPE SKIPPING
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	UNIFORMED GROUPS	SCOUTS	CUB SCOUTS
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - ANGKLUNG/KULINTANG	ANGKLUNG ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	CHOIR	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ENSEMBLE - HARMONICA	HARMONICA ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - CHINESE	CHINESE DANCE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - INDIAN	INDIAN DANCE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	DANCE - MALAY	MALAY DANCE
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	ART AND CRAFT CLUB	na
AHMAD IBRAHIM PRIMARY SCHOOL	PRIMARY	VISUAL AND PERFORMING ARTS	PHOTOGRAPHIC SOCIETY	PHOTOGRAPHY CLUB
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	CLUBS AND SOCIETIES	IT CLUB	(AI) ROBOTICS CLUB
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	AIR RIFLE / SHOOTING	SHOOTING
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	BASKETBALL	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	FOOTBALL	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	PHYSICAL SPORTS	TRACK & FIELD	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	GIRL GUIDES	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	NPCC	na
AHMAD IBRAHIM SECONDARY SCHOOL	SECONDARY	UNIFORMED GROUPS	ST. JOHN BRIGADE	ST JOHN BRIGADE
